tsb-cop2-alb 02-02-2023-06-16
tsb-onboarding-state-management-maintain 04-07-2023-12-46
tsb-onboarding-user-persistence 22-05-2023-12-19
tsb-onboarding-user-persistence-controller 15-03-2023-03-30
tsb-onboarding-user-persistence-validator 04-05-2023-04-48
tsb-onboarding-user-registration-housekeeping 26-10-2022-11-01
tsb-onboarding-userbyemail-persistence 26-10-2022-11-05
nginx-ingress-ingress-nginx-controller v1.6.4
tsb-cb-ads-customer-lookup-topology 21-10-2022-09-17
tsb-cb-authentication-api 08-11-2022-03-28
tsb-cb-authentication-api-gw 21-10-2022-09-16
tsb-cb-cdc-customer-data 21-10-2022-09-17
tsb-cb-housekeeping 30-08-2023-12-14
tsb-cb-lp-adapter 30-08-2023-12-22
tsb-cb-lp-adapter-1 30-08-2023-12-22
tsb-cb-lp-adapter-2 30-08-2023-12-22
tsb-cb-orchestrator 21-06-2023-09-06
tsb-cb-pr-ingest-das-users 0.9.13
tsb-cb-pr-ingest-pe-11 0.9.20
tsb-cb-pr-ingest-tbbv-bs-auth-data 0.9.7
tsb-cb-pr-ingest-tbbv-bs-contratos 0.9.12
tsb-cb-pr-ingest-tbbv-bs-usuarios 0.9.6
tsb-cb-pr-ingest-user-type 0.1.1
